time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
16.603,,5426000,1198000,1781000,1190000,105000,6605000,217000,0,8000,11000,70000,70000,2471000,4065000,6536000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.4,126.725,123.2366
16.804,,5499000,1184000,1781000,1431000,105000,6440000,212000,0,8000,4000,72000,72000,2494000,8945000,11439000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.4,126.725,123.2366
17.004,,5499000,1140000,1971000,1820000,105000,6440000,212000,10000,84000,7000,70000,70000,2459000,5062000,7521000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.4,126.725,123.2366
17.203,,5499000,1028000,1853000,1734000,105000,6654000,212000,0,38000,4000,70000,72000,2492000,7165000,9657000,25000000,127.4,125.15,97.88,120.2,126.05,123.575,118.4,126.725,123.2366
17.404,,5508000,1050000,2043000,839000,105000,6654000,198000,10000,38000,4000,70000,72000,2527000,5752000,8279000,25000000,127.4,125.15,97.88,120.2,126.05,123.575,118.2866,126.725,123.2366
17.603,,5508000,1050000,1710000,1471000,105000,6654000,198000,10000,38000,4000,70000,70000,2441000,5080000,7521000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.2866,126.725,123.2366
17.805,,5508000,1050000,1401000,1279000,880000,6632000,198000,0,8000,11000,70000,70000,2438000,4209000,6647000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.2866,126.725,123.2366
18.004,,5545000,1073000,1615000,874000,845000,6632000,225000,0,8000,11000,70000,70000,2401000,4655000,7056000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.2866,126.725,123.2366
18.204,,5545000,1073000,1805000,771000,901000,6632000,225000,0,8000,11000,70000,70000,2414000,4895000,7309000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.2866,126.725,123.2366
18.404,,5545000,1140000,1924000,833000,858000,6647000,225000,0,8000,11000,70000,70000,2424000,4798000,7222000,25000000,127.4,124.7,97.88,120.2,125.9366,123.4616,118.2866,126.725,123.125
18.603,,5389000,1028000,1686000,1229000,104000,6647000,229000,0,8000,11000,72000,70000,2466000,4822000,7288000,25000000,127.4,125.15,97.88,120.2,125.9366,123.4616,118.2866,126.725,123.125
18.803,,5389000,1140000,1971000,731000,2416000,6647000,229000,0,8000,11000,77000,70000,2449000,4893000,7342000,25000000,127.4,124.7,97.88,120.2,125.9366,123.4616,118.2866,126.725,123.125
19.004,,5389000,1184000,1686000,814000,921000,6687000,229000,0,8000,11000,72000,70000,2447000,4276000,6723000,25000000,127.4,124.7,97.88,120.2,125.9366,123.4616,118.2866,126.725,123.125
